CVE_ENT,CLAVE_CCT,TURNO,NOMBRE,CVE_MUN,NOMBRE_MUNICIPIO,CVE_LOC,NOMBRE_LOCALIDAD,NIVEL_EDUC,MODALIDAD,SERVICIO_ALIMENTACION
1,01DJN0215F,1,MARIANO MATAMOROS,2,ASIENTOS,9,EMANCIPACIÓN (BORUNDA) [COLONIA],PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0221Q,1,NACIONES UNIDAS,2,ASIENTOS,12,CLAVELLINAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0226L,1,FRANCISCO JAVIER MINA,10,EL LLANO,54,MONTOYA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0228J,1,TENOCH,7,RINCÓN DE ROMOS,20,FRESNILLO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0230Y,1,NETZAHUALCOYOTL,7,RINCÓN DE ROMOS,23,MAR NEGRO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0242C,1,MA. LUISA DE ALBA MEDRANO,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0245Z,1,ALFONSO L. HERRERA,9,TEPEZALÁ,19,EL PORVENIR,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0246Z,1,LAZARO CARDENAS DEL RIO,9,TEPEZALÁ,13,EL GIGANTE,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0268K,1,EDUARDO J. CORREA,2,ASIENTOS,21,LAS FRAGUAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0285A,1,EULALIA GUZMAN,8,SAN JOSÉ DE GRACIA,1,SAN JOSÉ DE GRACIA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0288Y,1,SALVADOR GALLARDO DAVALOS,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0299D,1,CECILIA OCCELLI DE SALINAS,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0300C,1,21 DE ABRIL,2,ASIENTOS,14,CRISÓSTOMOS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0302A,1,LIC. OTTO GRANADOS ROLDAN,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0307W,1,OTTO GRANADOS ROLDAN,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0309U,1,ADELINA HERNANDEZ REYNOSO,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0329H,1,CAROLINA L. VILLEGAS VALDEZ,5,JESÚS MARÍA,1,JESÚS MARÍA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0332V,1,MARIA MONTESSORI,2,ASIENTOS,59,VILLA JUÁREZ,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0343A,1,MARIA LAVALLE URBINA,10,EL LLANO,74,EL RETOÑO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0308V,1,ELOISA MORONES ALBA,5,JESÚS MARÍA,60,PEDERNAL PRIMERO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0390L,1,GABRIELA MISTRAL,11,SAN FRANCISCO DE LOS ROMO,1,SAN FRANCISCO DE LOS ROMO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0418A,1,MA. DE JESUS DE ALBA MEDRANO,10,EL LLANO,83,SAN FRANCISCO DE LOS VIVEROS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0433T,1,LUIS MORQUIO,9,TEPEZALÁ,28,EL TEPOZÁN,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DML0001D,1,CENTRO DE ATENCION MULTIPLE VIII,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,EDUCACION ESPECIAL,EDUCACION ESPECIAL CAM,NO
1,01DML0010L,1,CENTRO DE ATENCION MULTIPLE III,5,JESÚS MARÍA,1,JESÚS MARÍA,EDUCACION ESPECIAL,EDUCACION ESPECIAL CAM,NO
1,01DML0011K,1,CENTRO DE ATENCION MULTIPLE XII,1,AGUASCALIENTES,1,AGUASCALIENTES,EDUCACION ESPECIAL,EDUCACION ESPECIAL CAM,NO
1,01DML0012J,1,CENTRO DE ANTENCION MULTIPLE VII,1,AGUASCALIENTES,1,AGUASCALIENTES,EDUCACION ESPECIAL,EDUCACION ESPECIAL CAM,NO
1,01DML0020S,1,CENTRO DE ATENCION MULTIPLE XV,2,ASIENTOS,11,CIÉNEGA GRANDE,EDUCACION ESPECIAL,EDUCACION ESPECIAL CAM,NO
1,01DPR0002U,1,ANTONIO VENTURA MEDINA,8,SAN JOSÉ DE GRACIA,1,SAN JOSÉ DE GRACIA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0009N,1,ELOISA BARBOSA CHAVEZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0025E,1,DAVID DIOSDADO PALAFOX,5,JESÚS MARÍA,1,JESÚS MARÍA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0040X,1,SALVADOR NOVO,1,AGUASCALIENTES,569,LOS PARGAS [RANCHO],PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0042V,1,ANTONIO ARIAS BERNAL,1,AGUASCALIENTES,104,ARDILLAS DE ABAJO (LAS ARDILLAS),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0044T,1,MIGUEL ALEMAN,6,PABELLÓN DE ARTEAGA,47,MIGUEL ALEMÁN [SECADORA],PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0046R,1,OCTAVIO PAZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0047Q,1,EDUARDO J. CORREA,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,SI
1,01DPR0049O,1,JOSE ISABEL RODRIGUEZ MONTOYA,1,AGUASCALIENTES,651,OJO DE AGUA DE PALMITAS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0050D,1,FRANCISCO DE QUEVEDO Y VILLEGAS,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0058W,1,FEDERICO ENGELS,1,AGUASCALIENTES,479,VILLA LICENCIADO JESÚS TERÁN (CALVILLITO),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0059V,1,OTTO GRANADOS ROLDAN,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0064G,1,CARLOS FUENTES,6,PABELLÓN DE ARTEAGA,260,COLONIA NUEVA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0069B,1,MANUEL ACU¥A NARRO,3,CALVILLO,128,JARDINES DE SAN ISIDRO (COLONIA LIMÓN),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0070R,1,PABLO ALONSO LOZANO,1,AGUASCALIENTES,1035,LA PROVIDENCIA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0071Q,1,CARLOS PELLICER,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0078J,1,MARIO AGUILERA DORANTES,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0079I,1,J. REFUGIO NIETO BERMUDEZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0081X,1,PASCUAL ROMO CONCHOS,7,RINCÓN DE ROMOS,1,RINCÓN DE ROMOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0082W,1,BENITO TOVAR APARICIO,9,TEPEZALÁ,31,AMPLIACIÓN LOS HORNOS (EL LAGUNAZO) [COLONIA],PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0084U,1,ROSARIO CASTELLANOS,5,JESÚS MARÍA,105,TEPETATES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0085T,1,BEATRIZ ALICIA GUTIERREZ ROMO,7,RINCÓN DE ROMOS,1,RINCÓN DE ROMOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0093B,1,JUAN JOSE ARREOLA,5,JESÚS MARÍA,23,CORRAL DE BARRANCOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0096Z,1,AZTLAN,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0105Q,1,JOSE MARIA IGLESIAS,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0106P,1,CARLOS MARX,2,ASIENTOS,20,EL EPAZOTE,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0108N,1,IGNACIO ALLENDE,3,CALVILLO,98,LAS TINAJAS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0110B,1,EMILIANO ZAPATA,2,ASIENTOS,54,TANQUE VIEJO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0112Z,1,IGNACIO MANUEL ALTAMIRANO,3,CALVILLO,74,LA RINCONADA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0113Z,1,DAVID SERNA,3,CALVILLO,69,PRESA DE LOS SERNA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0114Y,1,18 DE MARZO,3,CALVILLO,64,LOS PATOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0115X,1,FRANCISCO GONZALEZ BOCANEGRA,3,CALVILLO,60,LA PANADERA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0116W,1,PROF. ENRIQUE OLIVARES SANTANA,4,COSÍO,1,COSÍO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0119T,1,FERNANDO MONTES DE OCA,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0124E,1,GENERAL MANUEL PEREZ TREVI¥O,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0126C,1,JUAN DE LA BARRERA,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,SI
1,01DPR0129Z,1,VICENTE SUAREZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0131O,1,MARGARITA MAZA DE JUAREZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0137I,1,JUSTO SIERRA,5,JESÚS MARÍA,60,PEDERNAL PRIMERO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0138H,1,LEONA VICARIO,10,EL LLANO,124,LA UNIÓN (LA PAZ),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0139G,1,DR. PEDRO DE ALBA,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0141V,1,RICARDO FLORES MAGON,7,RINCÓN DE ROMOS,112,EL SALITRILLO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0142U,1,CARMEN SERDAN,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0143T,1,DAVID G. BERLANGA,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0144S,1,IGNACIO RAMIREZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0146Q,1,LAZARO CARDENAS,9,TEPEZALÁ,12,EL CHAYOTE,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0147P,1,IGNACIO ZARAGOZA,9,TEPEZALÁ,15,MESILLAS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0150C,1,TEODORO OLIVARES,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0151B,1,FRANCISCO GONZALEZ BOCANEGRA,5,JESÚS MARÍA,106,LA TOMATINA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0152A,1,JOSE GUADALUPE POSADA,3,CALVILLO,171,PUERTA DE FRAGUA (PRESA LA CODORNIZ),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0153Z,1,RICARDO FLORES MAGON,7,RINCÓN DE ROMOS,43,EL SAUCILLO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0155Y,1,EZEQUIEL A. CHAVEZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0158V,1,JOSE LANDEROS GUTIERREZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0161I,1,JOSE GUADALUPE POSADA,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0163G,1,RAFAEL RAMIREZ,5,JESÚS MARÍA,37,MIRAVALLE,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0165E,1,BENITO JUAREZ,9,TEPEZALÁ,1,TEPEZALÁ,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0166D,1,VICENTE GUERRERO,1,AGUASCALIENTES,379,SAN IGNACIO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0167C,1,EMILIO RANGEL,1,AGUASCALIENTES,239,GENERAL JOSÉ MARÍA MORELOS Y PAVÓN (CAÑADA HONDA),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0168B,1,AQUILES SERDAN,11,SAN FRANCISCO DE LOS ROMO,1,SAN FRANCISCO DE LOS ROMO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0170Q,1,A¥O INTERNACIONAL DEL NI¥O,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0172O,1,FRANCISCO I. MADERO,7,RINCÓN DE ROMOS,6,EL BAJÍO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0173N,1,16 DE SEPTIEMBRE,6,PABELLÓN DE ARTEAGA,45,SANTIAGO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0174M,1,BENITO JUAREZ,6,PABELLÓN DE ARTEAGA,24,OJO ZARCO [COLONIA],PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0175L,1,SALVADOR LUEVANO,6,PABELLÓN DE ARTEAGA,10,EL GARABATO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0176K,1,FRANCISCO I. MADERO,6,PABELLÓN DE ARTEAGA,40,SAN LUIS DE LETRAS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0178I,1,MIGUEL HIDALGO,6,PABELLÓN DE ARTEAGA,2,LAS ÁNIMAS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0179H,1,PRESIDENTES DE MEXICO,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0181W,1,MIGUEL HIDALGO,7,RINCÓN DE ROMOS,27,MORELOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0182V,1,CUATRO DE ABRIL,7,RINCÓN DE ROMOS,28,ESTANCIA DE MOSQUEIRA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0183U,1,20 DE NOVIEMBRE,5,JESÚS MARÍA,109,VALLADOLID,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0184T,1,LIC. BENITO JUAREZ,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0186R,1,MIGUEL HIDALGO,5,JESÚS MARÍA,84,SAN ANTONIO DE LOS HORCONES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0187Q,1,21 DE AGOSTO,5,JESÚS MARÍA,80,EL REFUGIO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0188P,1,13 DE SEPTIEMBRE,5,JESÚS MARÍA,55,EX-HACIENDA DE MILPILLAS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0190D,1,FRANCISCO I. MADERO,4,COSÍO,28,EL REFUGIO DE AGUA ZARCA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0191C,1,RAFAEL ARELLANO VALLE,4,COSÍO,26,LA PUNTA,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0193A,1,JUAN SARABIA,5,JESÚS MARÍA,34,GRACIAS A DIOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0195Z,1,EMILIANO ZAPATA,3,CALVILLO,95,EL TERRERO DE LA LABOR,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0196Y,1,CARLOS BARRON,3,CALVILLO,84,SAN TADEO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0197X,1,LAZARO CARDENAS,3,CALVILLO,79,EL SALITRE,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0198W,1,LIC. ADOLFO LOPEZ MATEOS,3,CALVILLO,90,TEMAZCAL,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0200U,1,NARCISO MENDOZA,3,CALVILLO,78,EL RODEO,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0206O,1,NI¥OS HEROES,1,AGUASCALIENTES,370,SAN FELIPE [VIÑEDOS],PRIMARIA,PRIMARIA GENERAL,SI
1,01DPR0207N,1,ING. JESUS MA. RODRIGUEZ,1,AGUASCALIENTES,1,AGUASCALIENTES,PRIMARIA,PRIMARIA GENERAL,SI
1,01DPR0209L,1,GUADALUPE VICTORIA,2,ASIENTOS,3,LICENCIADO ADOLFO LÓPEZ MATEOS,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0211Z,1,EDMUNDO GAMEZ OROZCO,10,EL LLANO,124,LA UNIÓN (LA PAZ),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0213Y,1,IGNACIO ZARAGOZA,2,ASIENTOS,7,BIMBALETES AGUASCALIENTES (EL ÁLAMO),PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0216V,1,EMILIANO ZAPATA,9,TEPEZALÁ,16,OJO DE AGUA DE LOS MONTES,PRIMARIA,PRIMARIA GENERAL,NO
1,01DPR0217U,1,LIC. JAIME TORRES BODET,10,EL LLANO,57,EL NOVILLO,PRIMARIA,PRIMARIA GENERAL,NO
